Nome,latitude,longitude,ALERTA
Sengés,-24.11229,-49.466517,92
Colônia Barro Preto,-24.033333,-49.466667,202
Jaguariaíva,-24.264167,-49.731667,145
Tamanduá,-23.966667,-49.583056,"193,5"
Tomazina,-23.766667,-49.95,-3
Granja Garota,0.0,0.0,"27,5"
Andirá,-23.083333,-50.283333,35
Porto Santa Terezinha,-23.1,-50.45,"44,5"
Eta Irati,-25.464167,-50.532778,"66,5"
Uvaia,-25.0758,-50.3889,"37,5"
Bom Jardim,-24.705005,-50.493725,"94,5"
Tibagi Montante,-24.50966,-50.40978,"39,5"
Fazenda Manzanilha Montante,-24.487639,-50.36225,407
"Uhe Cap,Telemaco Borba",-24.3596,-50.595083,517
Barra Do Ribeirão Das Antas,-24.031805,-50.690608,109
Porto Londrina,-23.636389,-50.922778,"98,5"
Cebolão,-23.461667,-50.953611,212
Chácara Ana Cláudia,-23.311944,-50.995278,233
Ponte Preta,-23.17,-50.788056,"64,5"
Fazenda Santo Antonio,-22.940833,-51.324444,117
Eta Maringá,-23.325833,-51.845,152
Santa Fé,-23.033611,-51.752778,"165,5"
Rodovia Pr 470,-22.723056,-52.278611,
"Prudentópolis Cap, Sanepar",-25.237473,-50.961059,"132,5"
Porto Espanhol,-24.341944,-51.424444,3
Ubá Do Sul,-24.0417647,-51.623033,"63,5"
Ponte Rodovia Br 466,-23.869444,-51.643889,279
Porto Bananeiras,-23.674722,-52.117222,"29,5"
Japurá,-23.433056,-52.608333,"44,5"
Porto Paraíso Do Norte,-23.324506,-52.66529,"55,5"
Porto Carriel,-24.946667,-52.596389,"154,5"
Ponte Do Goio Bang,-24.616667,-52.933056,"26,5"
Fazenda Uberaba,-24.133056,-53.316667,71
Novo Balsa Santa Maria,-24.188077,-53.746357,97
Iporã,-23.971389,-53.75,33
Guaíra,-24.066667,-54.25,97
Novo Tres Passos,-24.393889,-54.138333,132
"Pch S,F, Montante 1",-24.7428,-53.855,
Uhe Itaipu São Francisco Falso,-24.9600794,-54.1745763,9
Ponte Pr 415,-25.450556,-49.121111,"63,5"
Embrapa,-25.321944,-49.161944,68
Pinhais,-25.454003,-49.171541,
Autódromo,-25.446818,-49.197909,14
Fazendinha,-25.519196,-49.146846,56
Horto Municipal,-25.463111,-49.250861,
Ete - Sanepar,-25.517501,-49.212354,96
Cachoeira,-25.589167,-49.228611,"84,5"
Ponte Do Umbarazinho,-25.599166,-49.260987,52
Santa Quitéria,-25.463314,-49.319521,
Araucária,-25.600278,-49.397778,58
Ponte Br 277 - Campo Largo,-25.426944,-49.388056,19
Guajuvira,-25.6,-49.513333,"55,5"
Formigas,-25.537887,-49.544397,123
Balsa Nova,-25.587222,-49.631667,"58,5"
Porto Amazonas,-25.548056,-49.889611,91
São Mateus Do Sul,-25.875833,-50.389617,"13,5"
Rio Negro,-26.109753,-49.801372,29
Divisa,-26.091527,-50.334012,"46,5"
Fluviópolis,-26.019283,-50.592533,"43,5"
União Da Vitória ,-26.22786,-51.08042,142
Porto Vitoria R5,-26.165283,-51.228017,"33,5"
Jangada,-26.387067,-51.271933,40
Madeireira Gavazzoni,-25.8075,-51.288633,"98,5"
Solais Novo,-26.066364,-51.913646,"18,5"
Foz Do Rio Bananas,-25.443056,-51.4325,37
Eta - Guarapuava,-25.397778,-51.435833,"40,5"
Foz Do Rio Coutinho,-25.452917,-51.636056,
Uhe Santa Clara,-25.597352,-51.675689,160
Cavernoso Em Vau Dos Ribeiros,-25.380056,-52.025071,"48,5"
Porto Palmeirinha,-26.0294,-52.628467,6
Eta Marmeleiro,29.817,71.028,74
Eta Francisco Beltrão,-26.081764,-53.074041,"180,5"
Bombeiros Francisco Beltrão,-26.073611,-53.056944,
Balsa Do Santana,-25.915,-52.849444,"404,5"
Flor Da Serra,-25.682267,-52.98345,"41,5"
Ponte Do Capanema,-25.769983,-53.61145,100
Porto Capanema,-25.573848,-53.944521,"132,5"
Hotel Cataratas,-25.683333,-54.440556,77
Ponte Do Açungui,-25.128611,-49.571944,"51,5"
Cerro Azul Montante,-24.843478,-49.273355,"158,5"
Córrego Comprido,-24.743611,-48.504722,"268,5"
Colônia Rio Verde,-25.160028,-48.242639,54
Pinguela,-25.242778,-48.7475,"25,5"
Vila Nova,-25.319673,-48.70822,
Morretes,-25.476944,-48.83,"22,5"
Uhe - Cubatão,-25.816667,-48.8,"149,5"
